activation_attention,activation_cnn,activation_rnn,dense_1,dense_2,dense_3,dropout,filter_sizes,num_filters,optimizer,pool_size,rnn_size,score
softmax,tanh,elu,32,8,32,0.3679707155987475,"(2, 4)",32,rmsprop,3,32,0.888888888888889
softmax,tanh,elu,32,128,64,0.2712140455054636,"(2, 4)",32,rmsprop,3,128,0.888888888888889
softmax,tanh,tanh,128,8,64,0.2809765916114302,"(2, 4)",32,rmsprop,3,128,0.888888888888889
softmax,elu,selu,64,8,32,0.3778285841416731,"(5,)",32,adam,3,32,0.888888888888889
softmax,tanh,elu,32,8,32,0.35231244429437636,"(2, 4)",32,rmsprop,3,32,0.888888888888889
softmax,tanh,elu,32,64,8,0.23909419693556186,"(2, 4)",64,rmsprop,3,64,0.888888888888889
softmax,tanh,elu,32,128,64,0.271908829522022,"(2, 4)",32,rmsprop,3,128,0.888888888888889
softmax,tanh,elu,32,128,64,0.29575220366380844,"(2, 4)",32,rmsprop,3,128,0.888888888888889
softmax,tanh,tanh,32,64,8,0.29237698110253324,"(4, 5, 6)",64,rmsprop,3,64,0.8831168831168831
softmax,tanh,elu,32,128,64,0.1625487047000852,"(4, 5, 6)",64,rmsprop,3,128,0.7750000000000001
softmax,tanh,tanh,16,64,128,0.14285101517469492,"(4,)",8,rmsprop,2,8,0.7750000000000001
sigmoid,relu,selu,128,128,16,0.1267601105689395,"(3, 5, 7)",16,adadelta,3,64,0.7750000000000001
softmax,tanh,elu,32,128,64,0.23382696603352535,"(2, 4)",64,rmsprop,3,128,0.7750000000000001
softmax,tanh,elu,32,16,64,0.2637640238780041,"(3, 4, 5)",16,rmsprop,3,128,0.7750000000000001
softmax,elu,tanh,128,16,64,0.36830979710061984,"(2, 3, 4)",32,rmsprop,3,128,0.7750000000000001
softmax,tanh,selu,8,16,64,0.14899351562432686,"(4,)",32,rmsprop,3,16,0.7750000000000001
softmax,tanh,tanh,128,64,64,0.12028442144952124,"(2, 4)",8,rmsprop,3,128,0.7749999999999999
softmax,tanh,tanh,128,32,64,0.2021895258484203,"(3, 5)",4,rmsprop,3,64,0.7749999999999999
softmax,tanh,tanh,64,8,64,0.4221442698066,"(2, 4)",32,rmsprop,3,128,0.7749999999999999
sigmoid,tanh,selu,8,8,16,0.38688552915682617,"(5,)",32,adadelta,3,32,0.7749999999999999
softmax,tanh,tanh,128,8,64,0.2910703005608654,"(3, 5)",32,rmsprop,3,128,0.7749999999999999
softmax,tanh,tanh,32,8,64,0.3173931475709492,"(2, 4)",32,rmsprop,3,32,0.7749999999999999
sigmoid,elu,elu,128,32,128,0.31592281756126794,"(3, 5, 7)",64,adam,3,64,0.7749999999999999
softmax,tanh,elu,64,8,32,0.3105467794534159,"(4,)",64,rmsprop,3,8,0.6666666666666665
softmax,tanh,relu,32,32,8,0.22356495296332074,"(2, 4)",8,rmsprop,2,128,0.6666666666666665
softmax,tanh,elu,32,8,32,0.3260183411701087,"(2, 4)",32,rmsprop,3,32,0.6493506493506493
softmax,tanh,elu,32,8,32,0.36952510626461854,"(2, 3, 4)",32,rmsprop,3,32,0.6493506493506493
softmax,elu,elu,32,64,8,0.3460944745820387,"(4, 5, 6)",64,adam,2,16,0.6493506493506493
softmax,tanh,elu,32,8,64,0.33833863695535443,"(3, 5)",8,rmsprop,3,32,0.6493506493506493
softmax,tanh,elu,128,8,8,0.24790175619343136,"(2, 4)",32,rmsprop,3,128,0.6493506493506493
softmax,selu,tanh,128,8,64,0.4404351650195251,"(3, 4, 5)",4,adam,3,16,0.5846153846153846
sigmoid,elu,selu,64,16,32,0.43282125508231,"(5,)",16,adam,2,32,0.55
softmax,tanh,elu,32,128,64,0.20373052736983197,"(2, 4)",32,rmsprop,3,128,0.55
sigmoid,tanh,tanh,128,64,8,0.2506784557385841,"(4,)",16,rmsprop,2,128,0.5
softmax,tanh,tanh,8,128,128,0.12462876316277319,"(4, 5, 6)",8,adadelta,2,64,0.35714285714285715
sigmoid,relu,elu,8,32,32,0.15210195617891678,"(5,)",32,adam,2,128,0.35714285714285715
sigmoid,elu,selu,64,8,32,0.5489994679121278,"(4, 5, 6)",32,adam,2,32,0.35714285714285715
softmax,elu,relu,8,8,32,0.3876325621793657,"(5,)",32,adam,3,32,0.35714285714285715
softmax,selu,selu,32,128,8,0.44788721612039173,"(3, 5, 7)",64,adadelta,3,8,0.35714285714285715
softmax,relu,elu,64,64,16,0.4712771069229969,"(4,)",16,adam,3,16,0.35714285714285715
